
👨🏻自用流,#genre#
YouKuAccompany,http://dno-501-1001-ilp.youku.com/v1-100100011/YouKuAccompany.m3u8?auth_key=1735897643-0-0-362fd438f8a1a0c8a6c294a628a2e033&cdnQuality=orig
YouKuAccompany2,http://dno-501-1001-ilp.youku.com/v1-100100011/YouKuAccompany2.m3u8?auth_key=1735897655-0-0-882769f90d461fbce04ed89ce3694321&cdnQuality=orig
YouKuAccompany3,http://dno-501-1001-ilp.youku.com/v1-100100011/YouKuAccompany3.m3u8?auth_key=1735897667-0-0-12fec7422f69d479b20db5e7fe7492e3&cdnQuality=orig
华东cba-exchange测试,http://cba-exchange-hd.youku.com/cba-matrix/huadongjifangceshi.m3u8?auth_key=1735897703-0-0-57d8412de91c4e6ee8bdabe3e68bfb81&cdnQuality=orig
华北cba-exchange测试,http://cba-exchange-hb.youku.com/cba-matrix/huabeijifangceshi.m3u8?auth_key=1735897753-0-0-1a0e3169377783d3e68fbf8ee2fef682&cdnQuality=orig


📺监控屏,#genre#
监控561,http://cba-exchange-hd.youku.com/tireless/vid-dashboard_561.flv?auth_key=1735896834-0-0-f22bdb2218810e1fab1772189c47b5c6
监控591,http://cba-exchange-hd.youku.com/tireless/vid-dashboard_591.flv?auth_key=1735896901-0-0-7c5af3a4860a04c2fcf3b075d6c855da
监控682,http://cba-exchange-hd.youku.com/tireless/vid-dashboard_682.flv?auth_key=1735896919-0-0-446bafad1ad7800e85e20cfd98b1ae06
监控821,http://cba-exchange-hd.youku.com/tireless/vid-dashboard_821.flv?auth_key=1735896961-0-0-7831d82d57979b2f087938d6f8cae338
监控822,http://cba-exchange-hd.youku.com/tireless/vid-dashboard_822.flv?auth_key=1735896974-0-0-e3cbc483d9fe6e4b4efb8b2ddc3420a3
监控823,http://cba-exchange-hd.youku.com/tireless/vid-dashboard_823.flv?auth_key=1735897052-0-0-f0f846a79c3d5acf25938abec8112b7c
监控836,http://cba-exchange-hd.youku.com/tireless/vid-dashboard_836.flv?auth_key=1735897064-0-0-c45bd4a40632a1cb2944578233275427
监控837级联,http://cba-exchange-hd.youku.com/tireless/vid-dashboard_837.flv?auth_key=1735897073-0-0-847b55206ff645ffdef6db924fb51f2c


🏸羽毛球上麦流,#genre#
1号场上麦流,http://dno-fifajs-native-major-hb.youku.com/fifa_jieshuo/YMQ-Court1HB.m3u8?auth_key=1735900772-0-0-f87d83141fa45fbfc870f716e6cbab55&cdnQuality=orig
2号场上麦流,http://dno-fifajs-native-major-hb.youku.com/fifa_jieshuo/YMQ-Court2HB.m3u8?auth_key=1735900773-0-0-1762233c22815e4f8d3aaff6e5fa2892&cdnQuality=orig
3号场上麦流,http://dno-fifajs-native-major-hb.youku.com/fifa_jieshuo/YMQ-Court3HB.m3u8?auth_key=1735900773-0-0-58296afe5b62cccf0548c3327d760388&cdnQuality=orig
4号场上麦流,http://dno-fifajs-native-major-hb.youku.com/fifa_jieshuo/YMQ-Court4HB.m3u8?auth_key=1735900773-0-0-33febe2e8916869d35efdae1542a3eea&cdnQuality=orig
配音间1上麦流,http://dno-fifajs-native-major-hb.youku.com/fifa_jieshuo/BTV-Dubroom01HB.m3u8?auth_key=1735900770-0-0-68627748a22b17f04756dc2e07c6dc99&cdnQuality=orig
配音间2上麦流,http://dno-fifajs-native-major-hb.youku.com/fifa_jieshuo/BTV-Dubroom02HB.m3u8?auth_key=1735900770-0-0-75041367d7a82d966d953e33060f7a86&cdnQuality=orig
配音间3上麦流,http://dno-fifajs-native-major-hb.youku.com/fifa_jieshuo/BTV-Dubroom03HB.m3u8?auth_key=1735900770-0-0-52a0f25bc86fa92a40586900293c6d5f&cdnQuality=orig
